nama,nilai_akhir,absensi,sikap,status
Citra Hidayat,74,66,kurang,0
Sari Kusuma,82,65,kurang,0
Budi Pratama,83,80,cukup,1
Hadi Purnama,72,86,cukup,0
Wawan Hidayat,83,85,baik,1
Lina Hidayat,84,87,baik,1
Sari Utami,88,82,cukup,1
Oki Wijaya,84,93,baik,1
Oki Pratama,84,65,cukup,0
Hadi Setiawan,66,93,cukup,0
Rizki Wijaya,90,86,cukup,1
Eka Hidayat,75,62,cukup,0
Oki Setiawan,80,78,cukup,1
Oki Pratama,88,100,baik,1
Indra Rahmawati,62,83,kurang,0
Dewi Utami,89,77,baik,1
Joko Hidayat,61,88,kurang,0
Eka Hidayat,71,51,kurang,0
Kiki Pratama,82,95,baik,1
Dewi Hidayat,70,76,cukup,0
Indra Utami,79,50,kurang,0
Indra Purnama,88,93,baik,1
Rizki Purnama,100,88,baik,1
Eka Hidayat,72,76,cukup,0
Nina Purnama,79,79,baik,1
Oki Utami,65,64,cukup,0
Wawan Kusuma,81,52,kurang,0
Nina Utami,51,83,kurang,0
Tono Kusuma,89,80,cukup,1
Citra Rahmawati,89,82,baik,1
Sari Kusuma,92,84,baik,1
Dewi Utami,76,90,kurang,0
Putri Santoso,87,68,cukup,0
Tono Rahmawati,87,88,baik,1
Wawan Hidayat,84,100,baik,1
Putri Purnama,77,90,cukup,1
Lina Utami,80,76,kurang,0
Andi Saputra,88,73,cukup,0
Nina Purnama,83,76,cukup,1
Lina Santoso,76,75,baik,0
Joko Purnama,78,84,cukup,1
Mira Purnama,57,70,kurang,0
Tono Purnama,81,88,cukup,1
Mira Saputra,88,69,cukup,0
Wawan Setiawan,88,76,baik,1
Joko Wijaya,81,79,cukup,1
Andi Wijaya,93,76,baik,1
Eka Kusuma,82,82,cukup,1
Lina Kusuma,85,82,cukup,1
Nina Santoso,70,64,cukup,0
Kiki Kusuma,82,72,kurang,0
Nina Purnama,77,75,baik,0
Sari Saputra,76,64,kurang,0
Sari Utami,99,88,baik,1
Joko Wijaya,69,81,cukup,0
Putri Kusuma,81,92,baik,1
Tono Rahmawati,50,69,kurang,0
Putri Hidayat,99,81,baik,1
Joko Purnama,77,78,baik,1
Rizki Utami,78,62,cukup,0
Putri Purnama,98,92,baik,1
Mira Wijaya,100,96,baik,1
Indra Rahmawati,51,58,kurang,0
Kiki Utami,83,87,baik,1
Nina Wijaya,87,71,cukup,0
Sari Setiawan,80,85,cukup,1
Dewi Pratama,60,70,kurang,0
Fajar Saputra,78,63,kurang,0
Kiki Saputra,81,61,kurang,0
Dewi Saputra,94,83,baik,1
Oki Kusuma,90,76,baik,1
Kiki Rahmawati,96,93,baik,1
Gita Santoso,67,76,cukup,0
Mira Rahmawati,72,80,cukup,0
Lina Purnama,65,84,cukup,0
Indra Wijaya,75,91,cukup,0
Eka Wijaya,69,76,cukup,0
Lina Setiawan,74,91,cukup,0
Tono Purnama,84,66,cukup,0
Joko Kusuma,78,85,cukup,1
Gita Pratama,80,91,baik,1
Putri Setiawan,86,82,baik,1
Andi Saputra,91,94,baik,1
Sari Rahmawati,73,66,cukup,0
Gita Santoso,68,70,kurang,0
Tono Utami,86,66,cukup,0
Citra Setiawan,85,85,baik,1
Mira Wijaya,86,66,cukup,0
Tono Santoso,96,76,baik,1
Hadi Wijaya,57,73,kurang,0
Dewi Santoso,82,51,kurang,0
Lina Utami,87,85,baik,1
Indra Rahmawati,84,67,cukup,0
Joko Purnama,88,84,cukup,1
Sari Kusuma,68,86,cukup,0
Eka Purnama,98,94,baik,1
Gita Saputra,89,95,baik,1
Dewi Utami,83,79,baik,1
Dewi Utami,93,100,baik,1
Putri Santoso,89,75,baik,0
Mira Utami,85,90,baik,1
Wawan Purnama,92,76,baik,1
Hadi Utami,83,100,baik,1
Citra Rahmawati,60,87,kurang,0
Hadi Pratama,73,73,cukup,0
Wawan Utami,87,76,cukup,1
Lina Kusuma,67,63,cukup,0
Putri Hidayat,88,75,baik,0
Citra Purnama,69,95,cukup,0
Lina Saputra,91,83,baik,1
Indra Wijaya,73,68,cukup,0
Fajar Utami,84,85,kurang,0
Sari Santoso,88,76,baik,1
Dewi Utami,75,73,cukup,0
Mira Saputra,85,84,cukup,1
Budi Purnama,90,84,baik,1
Dewi Saputra,90,61,cukup,0
Oki Wijaya,83,92,baik,1
Tono Utami,84,89,kurang,0
Tono Santoso,72,83,cukup,0
Putri Hidayat,98,86,baik,1
Oki Wijaya,53,77,kurang,0
Mira Utami,59,77,kurang,0
Lina Hidayat,83,85,cukup,1
Joko Utami,80,69,kurang,0
Rizki Hidayat,86,67,cukup,0
Hadi Rahmawati,71,95,cukup,0
Hadi Saputra,87,71,cukup,0
Budi Purnama,69,76,cukup,0
Gita Pratama,89,96,baik,1
Nina Saputra,76,62,kurang,0
Andi Kusuma,65,81,kurang,0
Indra Kusuma,87,85,baik,1
Lina Wijaya,82,80,baik,1
Citra Purnama,83,66,cukup,0
Indra Purnama,77,92,cukup,1
Sari Pratama,78,79,baik,1
Joko Saputra,62,72,kurang,0
Sari Wijaya,79,78,cukup,1
Wawan Setiawan,74,70,kurang,0
Kiki Kusuma,76,60,cukup,0
Kiki Rahmawati,71,71,cukup,0
Hadi Rahmawati,85,91,cukup,1
Andi Pratama,77,87,cukup,1
Tono Purnama,86,94,cukup,1
Oki Kusuma,81,75,cukup,0
Fajar Kusuma,92,83,baik,1
Fajar Utami,79,76,cukup,1
Wawan Kusuma,98,82,baik,1
Kiki Wijaya,60,72,kurang,0
Putri Kusuma,77,90,cukup,1
Eka Rahmawati,57,69,kurang,0
Budi Santoso,84,79,cukup,1
Budi Setiawan,80,76,baik,1
Sari Purnama,86,80,baik,1
Mira Santoso,85,72,cukup,0
Rizki Kusuma,85,90,baik,1
Sari Purnama,88,99,baik,1
Andi Kusuma,81,85,cukup,1
Sari Utami,75,94,baik,0
Eka Wijaya,99,84,baik,1
Budi Hidayat,77,83,cukup,1
Kiki Saputra,67,77,cukup,0
Fajar Wijaya,94,92,baik,1
Sari Saputra,81,77,baik,1
Tono Saputra,85,98,baik,1
Gita Purnama,91,77,baik,1
Fajar Wijaya,63,84,kurang,0
Putri Setiawan,72,76,cukup,0
Kiki Pratama,88,89,baik,1
Wawan Santoso,81,68,cukup,0
Joko Santoso,89,79,cukup,1
Indra Saputra,84,67,kurang,0
Andi Setiawan,88,61,cukup,0
Putri Saputra,65,65,cukup,0
Lina Kusuma,94,84,baik,1
Tono Wijaya,84,82,cukup,1
Fajar Kusuma,88,76,baik,1
Hadi Hidayat,68,76,cukup,0
Budi Rahmawati,66,76,cukup,0
Citra Pratama,92,96,baik,1
Hadi Santoso,84,77,baik,1
Joko Setiawan,65,78,cukup,0
Rizki Rahmawati,89,88,cukup,1
Nina Wijaya,81,97,baik,1
Rizki Saputra,80,88,baik,1
Indra Hidayat,83,66,cukup,0
Dewi Hidayat,90,88,cukup,1
Fajar Hidayat,67,70,kurang,0
Citra Hidayat,64,88,kurang,0
Oki Kusuma,68,81,cukup,0
Citra Purnama,70,87,cukup,0
Gita Rahmawati,84,92,baik,1
Nina Purnama,83,76,baik,1
Fajar Pratama,90,87,cukup,1
Fajar Kusuma,85,75,cukup,0
Dewi Setiawan,77,59,kurang,0
Joko Purnama,50,56,kurang,0
Hadi Santoso,87,66,cukup,0
Wawan Santoso,81,93,baik,1
Lina Utami,98,100,baik,1
Putri Hidayat,76,82,baik,1
Oki Hidayat,53,85,kurang,0
Nina Utami,85,89,baik,1
Lina Kusuma,78,92,baik,1
Tono Pratama,89,85,cukup,1
Fajar Purnama,71,71,cukup,0
Kiki Utami,98,82,baik,1
Lina Hidayat,95,83,baik,1
Hadi Kusuma,90,75,cukup,0
Wawan Saputra,78,77,cukup,1
Indra Kusuma,81,94,baik,1
Citra Pratama,100,99,baik,1
Nina Hidayat,84,72,cukup,0
Budi Kusuma,93,80,baik,1
Putri Kusuma,99,77,baik,1
Joko Rahmawati,87,80,baik,1
Budi Pratama,79,63,cukup,0
Sari Kusuma,73,90,cukup,0
Fajar Saputra,86,69,cukup,0
Lina Santoso,97,96,baik,1
Tono Rahmawati,76,65,cukup,0
Mira Hidayat,80,50,kurang,0
Wawan Wijaya,82,91,cukup,1
Hadi Setiawan,67,84,cukup,0
Andi Hidayat,85,85,baik,1
Wawan Kusuma,72,69,kurang,0
Lina Purnama,67,60,cukup,0
Citra Purnama,95,81,baik,1
Oki Utami,84,78,baik,1
Mira Wijaya,62,70,kurang,0
Lina Wijaya,86,63,cukup,0
Andi Santoso,73,54,kurang,0
Rizki Purnama,71,66,cukup,0
Dewi Purnama,78,66,cukup,0
Tono Rahmawati,85,77,cukup,1
Gita Wijaya,77,59,kurang,0
Fajar Rahmawati,73,92,cukup,0
Andi Utami,56,57,kurang,0
Hadi Kusuma,79,82,baik,1
Budi Rahmawati,67,86,cukup,0
Tono Saputra,59,85,kurang,0
Lina Utami,67,68,cukup,0
Dewi Pratama,73,90,kurang,0
Joko Saputra,65,86,cukup,0
Budi Pratama,71,61,cukup,0
Eka Pratama,77,57,kurang,0
Mira Santoso,86,85,baik,1
Fajar Santoso,89,90,baik,1
Tono Hidayat,72,84,cukup,0
Oki Wijaya,81,81,cukup,1
Rizki Setiawan,77,78,baik,1
Joko Hidayat,70,65,kurang,0
Rizki Kusuma,75,76,kurang,0
Mira Saputra,90,93,baik,1
Nina Pratama,90,97,baik,1
Kiki Santoso,85,77,baik,1
Lina Utami,80,93,cukup,1
Putri Purnama,80,95,baik,1
Putri Kusuma,72,71,kurang,0
Joko Kusuma,84,77,cukup,1
Tono Rahmawati,68,92,cukup,0
Mira Saputra,86,100,baik,1
Putri Pratama,86,86,cukup,1
Tono Kusuma,76,78,baik,1
Dewi Utami,75,98,baik,0
Lina Saputra,79,91,baik,1
Andi Rahmawati,98,82,baik,1
Indra Utami,95,86,baik,1
Joko Purnama,79,76,cukup,1
Rizki Saputra,91,98,baik,1
Hadi Utami,83,89,cukup,1
Kiki Wijaya,59,59,kurang,0
Andi Purnama,93,99,baik,1
Eka Rahmawati,91,76,baik,1
Nina Wijaya,84,94,cukup,1
Sari Pratama,90,90,baik,1
Joko Pratama,86,77,baik,1
Dewi Utami,65,63,kurang,0
Rizki Hidayat,74,60,cukup,0
Wawan Utami,72,89,cukup,0
Indra Rahmawati,74,71,kurang,0
Hadi Saputra,98,86,baik,1
Tono Kusuma,97,76,baik,1
Mira Wijaya,62,75,kurang,0
Oki Wijaya,60,58,kurang,0
Wawan Pratama,98,81,baik,1
Sari Purnama,70,65,kurang,0
Kiki Utami,75,79,baik,0
Eka Setiawan,89,86,baik,1
Dewi Rahmawati,79,68,cukup,0
Nina Pratama,84,64,kurang,0
Rizki Saputra,89,80,cukup,1
Kiki Purnama,68,72,cukup,0
Sari Utami,90,75,cukup,0
Hadi Setiawan,85,53,kurang,0
Gita Hidayat,81,88,cukup,1
Lina Rahmawati,79,98,baik,1
Nina Santoso,74,66,cukup,0
Kiki Pratama,76,78,baik,1
